number,zip,latitude,longitude
100654,35762,34.7834,-86.5685
100663,35294-0110,33.5022,-86.8092
100690,36117-3553,32.3626,-86.174
100706,35899,34.7228,-86.6384
100724,36104-0271,32.3643,-86.2957
100751,35487-0166,33.2144,-87.5458
100760,35010,32.9244,-85.9465
100812,35611,34.8056,-86.9651
100830,36117-3596,32.3699,-86.1774
100858,36849,32.6002,-85.4924
100937,35254,33.5155,-86.8536
101028,36869,32.4239,-85.0315
101073,36701,32.4223,-87.0242
101116,36116,32.3427,-86.2165
101143,36330-1300,31.2975,-85.837
101161,36507-2698,30.852,-87.7798
101189,36109-3378,32.3842,-86.2164
101240,35903,33.9919,-85.9913
101277,35951,34.2593,-86.2
101286,36303-9234,31.3161,-85.4636
101295,35077-2000,34.0734,-86.7817
101301,36703-2808,32.4456,-87.0132
101365,35209,33.4681,-86.8323
101435,36106-2148,32.3509,-86.2853
101453,35630-9977,34.8591,-87.6621
101462,35811,34.7721,-86.5738
101480,36265,33.8221,-85.7666
101499,36426,31.102,-87.0858
101505,35215-3098,33.6524,-86.7074
101514,35671,34.6543,-86.9491
101541,36756,32.6305,-87.3161
101569,35221-1717,33.4517,-86.8902
101587,35470,32.5924,-88.1861
101602,36420-1418,31.3229,-86.4523
101648,36756-3207,32.6224,-87.318
101675,35064-2621,33.4813,-86.9086
101693,36613-2842,30.7932,-88.1289
101709,35115-6000,33.1063,-86.8651
101736,35661,34.7396,-87.6773
101879,35632-0001,34.8066,-87.681
101897,35986,34.5455,-85.9117
101912,35896,34.7566,-86.6616
101949,36460,31.4889,-87.3264
101958,36117,32.3831,-86.1622
101994,36401,31.4607,-86.9645
102030,36603-5898,30.694,-88.057
102049,35229-2240,33.4646,-86.7909
102058,36701,32.4204,-87.0338
102067,35405-8522,33.1205,-87.5615
102076,35957-0734,34.2007,-86.1695
102094,36688-0002,30.6951,-88.1819
102234,36608-1791,30.6948,-88.1382
102261,35224-2083,33.3789,-86.749
102270,35403,33.1992,-87.5852
102298,35160,33.4343,-86.1137
102313,36108-3199,32.3501,-86.3431
102368,36082-0001,31.8001,-85.9502
10236801,368694419,NULL,NULL
10236802,361034419,NULL,NULL
10236803,363034419,NULL,NULL
10236808,360825327,NULL,NULL
10236809,360825327,NULL,NULL
102377,36088-1920,32.431,-85.7103
102395,36526-7055,30.6393,-87.9116
102429,35501,33.8358,-87.265
102553,99508,61.1896,-149.8261
102580,99645,62.113,-145.5262
102614,99775-7500,64.8571,-147.8248
102632,99801-8697,58.3843,-134.6363
102669,99508,61.1912,-149.8042
102711,99664-0889,60.1107,-149.4446
102845,99508,61.1958,-149.8402
103361,99686-0097,61.1224,-146.178
103501,99507-1033,61.1814,-149.857
103644,85021-1641,33.581,-112.1138
103723,85040,33.4033,-111.9865
