Number,Number1,Number2,Zip,Number3,Number4,Number5,Number6,Latitude,Longitude
100654,100200,1002,35762,0,1,1,3,34.7834,-86.5685
100663,105200,1052,35294-0110,0,1,1,3,33.5022,-86.8092
100690,2503400,25034,36117-3553,0,1,1,3,32.3626,-86.174
100706,105500,1055,35899,0,1,1,3,34.7228,-86.6384
100724,100500,1005,36104-0271,0,1,1,3,32.3643,-86.2957
100751,105100,1051,35487-0166,0,1,1,3,33.2144,-87.5458
100760,100700,1007,35010,0,1,1,2,32.9244,-85.9465
100812,100800,1008,35611,0,1,1,3,34.8056,-86.9651
100830,831000,8310,36117-3596,0,1,1,3,32.3699,-86.1774
100858,100900,1009,36849,0,1,1,3,32.6002,-85.4924
100937,101200,1012,35254,0,1,1,3,33.5155,-86.8536
101028,1218200,12182,36869,0,1,1,2,32.4239,-85.0315
101073,1055400,10554,36701,0,1,1,3,32.4223,-87.0242
101116,1303906,13039,36116,0,0,16,2,32.3427,-86.2165
101143,101500,1015,36330-1300,0,1,1,2,31.2975,-85.837
101161,106000,1060,36507-2698,0,1,1,2,30.852,-87.7798
101189,100300,1003,36109-3378,0,1,1,3,32.3842,-86.2164
101240,101700,1017,35903,0,1,1,2,33.9919,-85.9913
101277,4187200,41872,35951,0,1,1,1,34.2593,-86.2
101286,101800,1018,36303-9234,0,1,1,2,31.3161,-85.4636
101295,787100,7871,35077-2000,0,1,1,2,34.0734,-86.7817
101301,569900,5699,36703-2808,0,1,1,2,32.4456,-87.0132
101365,962107,9621,35209,0,0,11,1,33.4681,-86.8323
101435,101900,1019,36106-2148,0,1,1,3,32.3509,-86.2853
101453,2199700,21997,35630-9977,0,1,1,3,34.8591,-87.6621
101462,526000,5260,35811,0,1,1,1,34.7721,-86.5738
101480,102000,1020,36265,0,1,1,3,33.8221,-85.7666
101499,102100,1021,36426,0,1,1,2,31.102,-87.0858
101505,102200,1022,35215-3098,0,1,1,2,33.6524,-86.7074
101514,101300,1013,35671,0,1,1,2,34.6543,-86.9491
101541,102300,1023,36756,0,1,1,3,32.6305,-87.3161
101569,105900,1059,35221-1717,0,1,1,1,33.4517,-86.8902
101587,102400,1024,35470,0,1,1,3,32.5924,-88.1861
101602,898800,8988,36420-1418,0,1,1,1,31.3229,-86.4523
101648,102600,1026,36756-3207,0,1,1,2,32.6224,-87.318
101675,102800,1028,35064-2621,0,1,1,3,33.4813,-86.9086
101693,102900,1029,36613-2842,0,1,1,3,30.7932,-88.1289
101709,100400,1004,35115-6000,0,1,1,3,33.1063,-86.8651
101736,569700,5697,35661,0,1,1,2,34.7396,-87.6773
101879,101600,1016,35632-0001,0,1,1,3,34.8066,-87.681
101897,103100,1031,35986,0,1,1,2,34.5455,-85.9117
101912,103300,1033,35896,0,1,1,3,34.7566,-86.6616
101949,103400,1034,36460,0,1,1,2,31.4889,-87.3264
101958,2296000,22960,36117,0,1,3,2,32.3831,-86.1622
101994,569200,5692,36401,0,1,1,1,31.4607,-86.9645
102030,103000,1030,36603-5898,0,1,1,2,30.694,-88.057
102049,103600,1036,35229-2240,0,1,1,3,33.4646,-86.7909
102058,4067300,40673,36701,0,1,1,3,32.4204,-87.0338
102067,569100,5691,35405-8522,0,1,1,2,33.1205,-87.5615
102076,103800,1038,35957-0734,0,1,1,2,34.2007,-86.1695
102094,105700,1057,36688-0002,0,1,1,3,30.6951,-88.1819
102234,104100,1041,36608-1791,0,1,1,3,30.6948,-88.1382
102261,2270400,22704,35224-2083,0,1,1,3,33.3789,-86.749
102270,104400,1044,35403,0,1,1,3,33.1992,-87.5852
