Alabama 	United States 	AL 	Ala. 	Ala. 	State 	Montgomery 	131,442 	4,332 	135,775
Alaska 	United States 	AK 	Alas. 	Alas. 	State 	Juneau 	1,477,261 	222,870 	1,700,131
American Samoa 	United States 	AS 	(UNK) 	(UNK) 	Territory 	Fagatogo, Island of Tutuila 			
Arizona 	United States 	AZ 	Ariz. 	Ariz. 	State 	Phoenix 	294,332 	943 	295,275
Arkansas 	United States 	AR 	Ark. 	Ark. 	State 	Little Rock 	134,874 	2,867 	137,742
Baker Island 	United States 	(UNK) 	(UNK) 	(UNK) 	Territory 	(Unknown) 			
California 	United States 	CA 	Cal. 	Calif. 	State 	Sacramento 	403,968 	20,031 	424,000
Colorado 	United States 	CO 	Col. 	Colo. 	State 	Denver 	268,658 	960 	269,619
Connecticut 	United States 	CT 	Conn. 	Conn. 	State 	Hartford 	12,550 	1,808 	14,358
Delaware 	United States 	DE 	Del. 	Del. 	State 	Dover 	5,062 	1,385 	6,447
District of Columbia 	United States 	DC 	D.C. 	D.C. 	District 	Washington 	159 	18 	177
Florida 	United States 	FL 	Fla. 	Fla. 	State 	Tallahassee 	139,852 	30,461 	170,313
Georgia 	United States 	GA 	Ga. 	Ga. 	State 	Atlanta 	150,009 	3,943 	153,952
Guam 	United States 	GU 	Guam 	Guam 	Territory 	Agana 			
Hawaii 	United States 	HI 	Ha. 	Hawaii 	State 	Honolulu 	16,636 	11,676 	28,313
Howland Island 	United States 	(UNK) 	(UNK) 	(UNK) 	Territory 	(Unknown) 			
Idaho 	United States 	ID 	Ida. 	Ida. 	State 	Boise 	214,324 	2,131 	216,455
Illinois 	United States 	IL 	Ill. 	Ill. 	State 	Springfield 	143,986 	6,021 	150,007
Indiana 	United States 	IN 	Ind. 	Ind. 	State 	Indianapolis 	92,903 	1,424 	94,328
Iowa 	United States 	IA 	Ia. 	Ia. 	State 	Des Moines 	144,715 	1,038 	145,753
Jarvis Island 	United States 	(UNK) 	(UNK) 	(UNK) 	Territory 	(Unknown) 			
Johnston Atoll 	United States 	(UNK) 	(UNK) 	(UNK) 	Territory 	(Unknown) 			
Kansas 	United States 	KS 	Kan. 	Kans. 	State 	Topeka 	211,921 	1,189 	213,109
Kentucky 	United States 	KY 	Ky. 	Ky. 	State 	Frankfort 	102,906 	1,758 	104,665
Kingman Reef 	United States 	(UNK) 	(UNK) 	(UNK) 	Territory 	(Unknown) 			
Louisiana 	United States 	LA 	La. 	La. 	State 	Baton Rouge 	112,835 	21,438 	134,274
Maine 	United States 	ME 	Me. 	Me. 	State 	Augusta 	79,939 	11,714 	91,653
Maryland 	United States 	MD 	Md. 	Md. 	State 	Annapolis 	25,316 	6,819 	32,135
Massachusetts 	United States 	MA 	Mass. 	Mass. 	State 	Boston 	20,300 	7,037 	27,337
Michigan 	United States 	MI 	Mich. 	Mich. 	State 	Lansing 	147,135 	103,602 	250,737
Midway Islands 	United States 	(UNK) 	(UNK) 	(UNK) 	Territory 	(Unknown) 			
Minnesota 	United States 	MN 	Minn. 	Minn. 	State 	St. Paul 	206,206 	18,974 	225,181
Mississippi 	United States 	MS 	Miss. 	Miss. 	State 	Jackson 	121,506 	3,937 	125,442
Missouri 	United States 	MO 	Mo. 	Mo. 	State 	Jefferson City 	178,445 	2,100 	180,545
Montana 	United States 	MT 	Mon. 	Mont. 	State 	Helena 	376,989 	3,859 	380,848
Navassa Island 	United States 	(UNK) 	(UNK) 	(UNK) 	Territory 	(Unknown) 			
Nebraska 	United States 	NE 	Neb. 	Nebr. 	State 	Lincoln 	199,112 	1,245 	200,357
Nevada 	United States 	NV 	Nev. 	Nev. 	State 	Carson City 	284,396 	1,971 	286,367
New Hampshire 	United States 	NH 	N.H. 	N.H. 	State 	Concord 	23,231 	988 	24,219
New Jersey 	United States 	NJ 	N.J. 	N.J. 	State 	Trenton 	19,215 	3,375 	22,590
New Mexico 	United States 	NM 	N.M. 	N. Mex. 	State 	Santa Fe 	314,333 	605 	320,118
New York 	United States 	NY 	N.Y. 	N.Y. 	State 	Albany 	122,309 	18,779 	141,088
North Carolina 	United States 	NC 	N.C. 	N.C. 	State 	Raleigh 	126,179 	13,217 	139,397
