Number,Number1,Number2,Zip,Number3,Number4,Number5,Number6,Latitude,Longitude,mn_earn_wne_male1_p6,count_nwne_p8,count_wne_p8,mn_earn_wne_p8,md_earn_wne_p8,HI_INC_WDRAW_4YR_TRANS_YR4_RT
100654,100200,1002,35762,0,1,1,3,34.7834,-86.5685,27000,221,1491,30300,27000,0.106918239
100663,105200,1052,35294-0110,0,1,1,3,33.5022,-86.8092,41100,387,3121,42100,37200,0.045364892
100690,2503400,25034,36117-3553,0,1,1,3,32.3626,-86.174,44400,43,170,39300,35300,0
100706,105500,1055,35899,0,1,1,3,34.7228,-86.6384,42100,151,1224,45800,41500,PrivacySuppressed
100724,100500,1005,36104-0271,0,1,1,3,32.3643,-86.2957,21100,274,1732,26400,22400,PrivacySuppressed
100751,105100,1051,35487-0166,0,1,1,3,33.2144,-87.5458,40000,318,3326,44700,39200,0.056746532
100760,100700,1007,35010,0,1,1,2,32.9244,-85.9465,30400,168,729,28000,24100,PrivacySuppressed
100812,100800,1008,35611,0,1,1,3,34.8056,-86.9651,43200,112,874,38200,36800,PrivacySuppressed
100830,831000,8310,36117-3596,0,1,1,3,32.3699,-86.1774,33300,179,1220,35300,32400,0.087336245
100858,100900,1009,36849,0,1,1,3,32.6002,-85.4924,43900,345,3804,47100,41800,0.039452496
100937,101200,1012,35254,0,1,1,3,33.5155,-86.8536,32000,27,257,41500,38200,0.094339623
101028,1218200,12182,36869,0,1,1,2,32.4239,-85.0315,27500,193,751,26900,23600,PrivacySuppressed
101073,1055400,10554,36701,0,1,1,3,32.4223,-87.0242,21100,75,328,22800,19100,PrivacySuppressed
101116,1303906,13039,36116,0,0,16,2,32.3427,-86.2165,43800,264,1420,33700,28400,PrivacySuppressed
101143,101500,1015,36330-1300,0,1,1,2,31.2975,-85.837,38400,180,773,32600,26100,PrivacySuppressed
101161,106000,1060,36507-2698,0,1,1,2,30.852,-87.7798,30300,265,1357,29500,26300,PrivacySuppressed
101189,100300,1003,36109-3378,0,1,1,3,32.3842,-86.2164,40300,176,1164,39200,35300,0.163265306
101240,101700,1017,35903,0,1,1,2,33.9919,-85.9913,27900,606,2332,26800,23400,NULL
101277,4187200,41872,35951,0,1,1,1,34.2593,-86.2,NULL,NULL,NULL,NULL,NULL,NULL
101286,101800,1018,36303-9234,0,1,1,2,31.3161,-85.4636,26800,368,1506,27500,23500,0
101295,787100,7871,35077-2000,0,1,1,2,34.0734,-86.7817,32800,445,1880,30200,27600,0.067901235
101301,569900,5699,36703-2808,0,1,1,2,32.4456,-87.0132,26600,228,796,25900,21200,NULL
101365,962107,9621,35209,0,0,11,1,33.4681,-86.8323,38300,63,462,39100,37900,PrivacySuppressed
101435,101900,1019,36106-2148,0,1,1,3,32.3509,-86.2853,34100,43,284,36100,33000,0.103448276
101453,2199700,21997,35630-9977,0,1,1,3,34.8591,-87.6621,PrivacySuppressed,10,24,PrivacySuppressed,PrivacySuppressed,NULL
101462,526000,5260,35811,0,1,1,1,34.7721,-86.5738,23900,112,473,23500,19600,NULL
101480,102000,1020,36265,0,1,1,3,33.8221,-85.7666,32300,306,2276,33400,31300,0.085043988
101499,102100,1021,36426,0,1,1,2,31.102,-87.0858,26100,146,651,26700,22400,0
101505,102200,1022,35215-3098,0,1,1,2,33.6524,-86.7074,31700,371,1863,29500,27100,0.078703704
101514,101300,1013,35671,0,1,1,2,34.6543,-86.9491,31000,588,2585,29600,25600,0.135964912
101541,102300,1023,36756,0,1,1,3,32.6305,-87.3161,PrivacySuppressed,37,115,28400,25300,PrivacySuppressed
101569,105900,1059,35221-1717,0,1,1,1,33.4517,-86.8902,23700,528,1996,25300,22000,NULL
101587,102400,1024,35470,0,1,1,3,32.5924,-88.1861,34100,67,621,34400,32200,PrivacySuppressed
101602,898800,8988,36420-1418,0,1,1,1,31.3229,-86.4523,28500,217,865,28100,23700,NULL
101648,102600,1026,36756-3207,0,1,1,2,32.6224,-87.318,PrivacySuppressed,6,83,39300,37900,PrivacySuppressed
101675,102800,1028,35064-2621,0,1,1,3,33.4813,-86.9086,22200,146,809,24500,21700,PrivacySuppressed
101693,102900,1029,36613-2842,0,1,1,3,30.7932,-88.1289,31500,80,650,36800,32900,PrivacySuppressed
101709,100400,1004,35115-6000,0,1,1,3,33.1063,-86.8651,27600,96,747,31700,30400,PrivacySuppressed
101736,569700,5697,35661,0,1,1,2,34.7396,-87.6773,30300,474,1757,27200,22900,PrivacySuppressed
101879,101600,1016,35632-0001,0,1,1,3,34.8066,-87.681,33200,207,1377,35600,33000,0.037671233
101897,103100,1031,35986,0,1,1,2,34.5455,-85.9117,29600,206,890,28500,25000,0
101912,103300,1033,35896,0,1,1,3,34.7566,-86.6616,28400,65,430,32300,27300,PrivacySuppressed
101949,103400,1034,36460,0,1,1,2,31.4889,-87.3264,29400,165,582,25900,19500,0
101958,2296000,22960,36117,0,1,3,2,32.3831,-86.1622,PrivacySuppressed,14,40,PrivacySuppressed,PrivacySuppressed,0
101994,569200,5692,36401,0,1,1,1,31.4607,-86.9645,28800,177,460,23200,18200,NULL
102030,103000,1030,36603-5898,0,1,1,2,30.694,-88.057,26500,536,2140,23700,19200,NULL
102049,103600,1036,35229-2240,0,1,1,3,33.4646,-86.7909,44500,76,653,48900,41400,0.058035714
102058,4067300,40673,36701,0,1,1,3,32.4204,-87.0338,PrivacySuppressed,NULL,NULL,NULL,NULL,0
102067,569100,5691,35405-8522,0,1,1,2,33.1205,-87.5615,27400,421,1895,25700,22400,0
102076,103800,1038,35957-0734,0,1,1,2,34.2007,-86.1695,29200,176,654,27300,25000,0
102094,105700,1057,36688-0002,0,1,1,3,30.6951,-88.1819,39800,413,2802,39900,34400,PrivacySuppressed
102234,104100,1041,36608-1791,0,1,1,3,30.6948,-88.1382,38700,33,379,40000,37500,0.078125
102261,2270400,22704,35224-2083,0,1,1,3,33.3789,-86.749,PrivacySuppressed,20,98,30800,27200,PrivacySuppressed
102270,104400,1044,35403,0,1,1,3,33.1992,-87.5852,30100,79,457,26300,23200,PrivacySuppressed
102298,104600,1046,35160,0,1,1,3,33.4343,-86.1137,17200,25,138,21100,19600,PrivacySuppressed
102313,573400,5734,36108-3199,0,1,1,1,32.3501,-86.3431,27300,204,810,26200,22300,0
102368,104700,1047,36082-0001,0,1,4,3,31.8001,-85.9502,38800,602,3752,36900,33800,PrivacySuppressed
10236801,104703,1047,368694419,0,0,4,0,NULL,NULL,38800,602,3752,36900,33800,PrivacySuppressed
10236802,104755,1047,361034419,0,0,4,0,NULL,NULL,38800,602,3752,36900,33800,PrivacySuppressed
10236803,104754,1047,363034419,0,0,4,0,NULL,NULL,38800,602,3752,36900,33800,PrivacySuppressed
10236808,104700,1047,360825327,0,1,4,0,NULL,NULL,38800,602,3752,36900,33800,PrivacySuppressed
10236809,104700,1047,360825327,0,1,4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
102377,105000,1050,36088-1920,0,1,1,3,32.431,-85.7103,31400,81,721,37100,30800,PrivacySuppressed
102395,2170600,21706,36526-7055,0,1,1,3,30.6393,-87.9116,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
102429,573300,5733,35501,0,1,1,2,33.8358,-87.265,30100,530,1783,28000,24700,PrivacySuppressed
102553,1146200,11462,99508,0,1,2,3,61.1896,-149.8261,48700,502,2443,44800,39800,0.042145594
102580,884300,8843,99645,0,1,1,1,62.113,-145.5262,NULL,NULL,NULL,NULL,NULL,NULL
102614,106300,1063,99775-7500,0,1,1,3,64.8571,-147.8248,42000,244,1170,39000,34300,0.063241107
102632,106500,1065,99801-8697,0,1,1,3,58.3843,-134.6363,35200,82,382,37000,35800,PrivacySuppressed
102669,106100,1061,99508,0,1,1,3,61.1912,-149.8042,42100,27,150,41100,38000,PrivacySuppressed
102711,3160300,31603,99664-0889,0,1,1,1,60.1107,-149.4446,PrivacySuppressed,34,166,39000,28900,0
102845,2576900,25769,99508,0,1,1,1,61.1958,-149.8402,46500,69,308,40700,34100,PrivacySuppressed
103361,1146205,11462,99686-0097,0,0,2,2,61.1224,-146.178,48700,502,2443,44800,39800,0.042145594
103501,2541000,25410,99507-1033,0,1,1,1,61.1814,-149.857,30900,99,299,28000,27000,0
103644,2295000,22950,85021-1641,0,1,2,2,33.581,-112.1138,26800,169,611,28700,27600,PrivacySuppressed
103723,2160305,21603,85040,0,0,4,3,33.4033,-111.9865,23900,601,2441,27800,24100,PrivacySuppressed
103732,2173204,21732,85032,0,0,11,1,33.6026,-111.9764,PrivacySuppressed,30,102,22700,18800,0
103741,966403,9664,85716,0,0,14,1,32.2357,-110.9272,PrivacySuppressed,88,323,20100,17300,0
103778,107000,1070,85306-6000,0,1,2,1,33.6209,-112.1809,PrivacySuppressed,21,107,126800,110900,0
10377801,107002,1070,331667601,0,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
103787,2199900,21999,85021,0,1,1,3,33.5777,-112.0922,PrivacySuppressed,15,28,PrivacySuppressed,PrivacySuppressed,0
103811,2317800,23178,85043-4729,0,1,1,1,33.4423,-112.1753,29900,349,888,33300,31200,0
103893,2100600,21006,85051-4063,0,1,6,1,33.5608,-112.1155,29000,854,2888,25100,23800,PrivacySuppressed
103909,2100611,21006,85210,0,0,6,1,33.393,-111.8553,29000,854,2888,25100,23800,PrivacySuppressed
103927,2100607,21006,85705-5885,0,0,6,1,32.2709,-110.978,29000,854,2888,25100,23800,PrivacySuppressed
103945,3120300,31203,86004,0,1,3,2,35.2112,-111.6048,26800,31,133,21700,21300,0
103954,886400,8864,85712,0,1,1,1,32.2373,-110.8723,PrivacySuppressed,29,104,19500,16000,PrivacySuppressed
103963,1084700,10847,85301-3579,0,1,1,1,33.5372,-112.1573,27900,222,916,31200,30100,0
104090,2218800,22188,85021,0,1,4,1,33.5254,-112.1501,23400,644,1841,21900,20600,PrivacySuppressed
104151,108100,1081,85287,0,1,5,3,33.4219,-111.94,43700,1444,11691,46000,41200,PrivacySuppressed
104160,107100,1071,85365-8834,0,1,1,1,32.6893,-114.496,27200,341,1671,28600,25400,PrivacySuppressed
104179,108300,1083,85721-0066,0,1,1,3,32.2321,-110.9508,43100,703,5942,46400,40000,PrivacySuppressed
104188,2491500,24915,85716,0,1,2,3,32.2524,-110.9273,26800,95,323,30200,26600,PrivacySuppressed
104294,2561900,25619,85254,0,1,1,1,33.624,-111.9255,PrivacySuppressed,46,163,22300,20700,0
104346,728300,7283,85128-9030,0,1,1,2,32.9571,-111.6525,31300,287,988,29100,25600,PrivacySuppressed
104364,4051325,40513,85712,0,0,33,2,32.2367,-110.8951,29900,69,353,30500,28200,PrivacySuppressed
104391,2280500,22805,86403,0,1,1,1,34.4753,-114.3281,PrivacySuppressed,25,63,16400,12900,0
104425,107200,1072,85607-6190,0,1,1,2,31.3658,-109.6904,33000,420,1283,31600,25300,PrivacySuppressed
104434,1054207,10542,86004,0,0,14,1,35.1972,-111.6259,PrivacySuppressed,87,298,21300,16700,0
104443,1054208,10542,85224,0,0,14,1,33.3476,-111.8604,PrivacySuppressed,87,298,21300,16700,0
104504,2582700,25827,85710,0,1,1,1,32.219,-110.8568,PrivacySuppressed,44,147,24000,18000,0
104568,1085800,10858,85210,0,1,3,1,33.3766,-111.8583,PrivacySuppressed,36,126,20700,16500,0
104577,107300,1073,85552-0769,0,1,1,1,32.8407,-109.7617,30200,255,683,30900,26700,NULL
104586,147902,1479,86301-3720,0,0,2,3,34.6157,-112.4523,50900,226,2940,59200,53800,PrivacySuppressed
104665,2533200,25332,85261-4430,0,1,1,3,33.6072,-111.8465,NULL,NULL,NULL,NULL,NULL,0
104708,107600,1076,85302,0,1,1,1,33.5675,-112.1883,32300,815,3527,34300,31300,0.110619469
104717,107400,1074,85017,0,1,1,3,33.5122,-112.1299,53600,77,654,51300,46200,PrivacySuppressed
104805,2263100,22631,85014,0,1,6,2,33.4943,-112.0502,31000,1167,4897,27600,25200,PrivacySuppressed
104911,1218400,12184,85202-4887,0,1,1,1,33.393,-111.8627,PrivacySuppressed,37,112,22100,16900,0
105118,2071200,20712,85029,0,1,1,1,33.6082,-112.1189,31400,157,556,27800,26600,PrivacySuppressed
105145,830300,8303,85034,0,1,2,1,33.4495,-111.9965,35300,603,1947,33200,29700,PrivacySuppressed
105154,107700,1077,85202,0,1,1,1,33.3913,-111.8715,34200,1059,4596,35900,31800,PrivacySuppressed
105163,732990,7329,85704-5829,0,0,141,2,32.2973,-110.9975,35900,574,3762,38800,35100,PrivacySuppressed
105172,732911,7329,85282,0,0,141,2,33.3804,-111.9692,35900,574,3762,38800,35100,PrivacySuppressed
105206,1186400,11864,86409-1238,0,1,1,1,35.2707,-114.0302,27000,221,597,30700,26700,PrivacySuppressed
105215,2100500,21005,85027,0,1,3,1,33.6844,-112.1213,31900,1003,5002,35000,32700,PrivacySuppressed
105297,824600,8246,86556,0,1,1,2,36.3276,-109.2947,18000,266,783,22300,19100,0
105330,108200,1082,86011-4132,0,1,1,3,35.1801,-111.6577,38000,490,3954,38900,36200,0.042613636
105349,1186200,11862,86025-0610,0,1,1,1,34.9222,-110.1316,29300,215,617,25500,21200,0
105367,193701,1937,85021,0,0,5,3,33.5779,-112.1134,44900,157,1215,42300,37700,PrivacySuppressed
105428,107800,1078,85013,0,1,1,1,33.4814,-112.0883,28500,619,2475,32100,29200,PrivacySuppressed
105482,2623800,26238,85257,0,1,1,1,33.4666,-111.9084,PrivacySuppressed,69,248,25100,21700,PrivacySuppressed
105516,2098800,20988,85282-2371,0,1,71,3,33.4123,-111.9802,53300,12806,85102,52900,46200,0.045862474
105525,726600,7266,85709-1275,0,1,1,1,32.2268,-110.9852,29600,1466,5626,31100,27500,PrivacySuppressed
105534,2217100,22171,85716,0,1,11,1,32.2504,-110.9213,36900,1464,5375,27500,26100,PrivacySuppressed
105543,2217103,22171,87110,0,0,11,1,35.1055,-106.5947,36900,1464,5375,27500,26100,PrivacySuppressed
105589,2065300,20653,86301,0,1,1,3,34.5445,-112.4765,28600,70,345,30600,30800,PrivacySuppressed
105659,1168900,11689,85034-1816,0,1,1,1,33.4487,-111.9894,PrivacySuppressed,120,567,41200,38400,PrivacySuppressed
105668,2177500,21775,85281,0,1,1,1,33.4131,-111.9752,41600,348,1190,38100,35100,PrivacySuppressed
105677,2113800,21138,85007,0,1,1,1,33.4547,-112.0864,PrivacySuppressed,9,53,25500,23700,0
105701,3005000,30050,85546,0,1,1,1,32.8353,-109.7277,PrivacySuppressed,29,44,PrivacySuppressed,PrivacySuppressed,NULL
105747,830400,8304,85256,0,1,1,2,33.5095,-111.8873,33700,381,1670,36800,33200,0.156862745
105792,2146600,21466,85042,0,1,1,2,33.381,-112.0575,28700,263,1024,29500,26600,PrivacySuppressed
105899,711300,7113,85032-7097,0,1,1,3,33.5951,-112.0262,PrivacySuppressed,14,102,32200,29300,PrivacySuppressed
105987,446700,4467,85711,0,1,1,1,32.2218,-110.8835,21700,160,431,21400,21700,0
106041,822100,8221,85323,0,1,5,2,33.4535,-112.2897,35900,1090,10484,41300,39000,PrivacySuppressed
106102,2171500,21715,85282,0,1,1,3,33.6007,-112.1184,47200,173,1024,49600,43600,PrivacySuppressed
106111,945915,9459,85051,0,0,16,1,33.5381,-112.1182,PrivacySuppressed,52,187,19700,18500,0
106148,107900,1079,86301,0,1,1,1,34.5475,-112.4542,30200,362,992,29500,25400,PrivacySuppressed
106245,110100,1101,72204,0,1,1,3,34.7266,-92.3418,34200,432,2414,34600,31600,PrivacySuppressed
106263,110900,1109,72205-7199,0,1,1,3,34.7497,-92.3209,81000,35,560,67000,55600,PrivacySuppressed
106281,3065100,30651,71923,0,1,1,1,34.1223,-93.0816,PrivacySuppressed,13,35,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
106306,108700,1087,72202-6068,1,1,1,3,34.7348,-92.2906,PrivacySuppressed,40,143,21700,18600,PrivacySuppressed
106315,3005100,30051,72209,0,1,1,1,34.6691,-92.3348,PrivacySuppressed,12,54,15800,13800,NULL
106324,3997300,39973,72801,0,1,1,1,35.2786,-93.1352,PrivacySuppressed,NULL,NULL,NULL,NULL,0
106342,108800,1088,72501,0,1,1,3,35.7789,-91.6281,31600,24,166,37200,35500,PrivacySuppressed
106351,3023400,30234,72114,0,1,2,1,34.7536,-92.2663,PrivacySuppressed,24,53,13500,11900,NULL
10635101,3023401,30234,72204,0,0,2,0,NULL,NULL,PrivacySuppressed,24,53,13500,11900,NULL
106360,2363500,23635,72901-3342,0,1,1,1,35.38,-94.411,PrivacySuppressed,26,82,15300,13600,NULL
106397,110800,1108,72701,0,1,1,3,36.0615,-94.1782,43200,291,2762,43700,39200,PrivacySuppressed
106412,108600,1086,71601,0,1,1,3,34.2422,-92.0213,23500,169,1048,27100,23700,PrivacySuppressed
106449,109100,1091,72012-1000,0,1,1,1,35.0745,-91.8962,34000,221,917,30100,27100,PrivacySuppressed
106458,109000,1090,72401,0,1,2,3,35.8428,-90.6805,32400,704,4120,32300,29100,PrivacySuppressed
106467,108900,1089,72801-2222,0,1,1,3,35.2952,-93.1323,33400,368,2284,33700,30600,0.038869258
106485,108500,1085,71656,0,1,1,1,33.5898,-91.813,32700,230,1242,30500,27600,PrivacySuppressed
106494,2538500,25385,72076,0,1,2,1,34.8918,-92.1023,PrivacySuppressed,56,160,15700,13100,PrivacySuppressed
106546,3105200,31052,72210-2820,0,1,1,1,34.7131,-92.4069,PrivacySuppressed,26,325,43400,41300,PrivacySuppressed
106625,2052200,20522,72455,0,1,1,1,36.2398,-90.951,26600,179,765,27000,23700,PrivacySuppressed
106704,109200,1092,72035-0001,0,1,1,3,35.0782,-92.4593,33900,342,2713,36300,33300,0.081510934
106713,109300,1093,72034,0,1,1,3,35.0846,-92.4441,36800,24,157,36300,31200,PrivacySuppressed
106795,2220900,22209,71832,0,1,1,1,34.0434,-94.3673,23800,95,343,24300,20800,NULL
106810,109500,1095,72450,0,1,1,2,36.0662,-90.5848,PrivacySuppressed,11,92,28400,26200,PrivacySuppressed
106829,704400,7044,72335-0925,0,1,1,1,35.0419,-90.7678,23900,68,223,19900,16700,NULL
106883,1226000,12260,72335-2204,0,1,1,1,35.0397,-90.7674,26100,148,672,22800,18500,0
106892,2272400,22724,72205,0,1,2,1,34.7511,-92.3412,PrivacySuppressed,180,648,18600,18000,PrivacySuppressed
106908,3124900,31249,72117,0,1,1,1,34.7913,-92.2213,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0
106980,1210500,12105,71913,0,1,1,2,34.5127,-93.1171,24000,241,948,25600,22000,PrivacySuppressed
106999,2073500,20735,72503-3350,0,1,1,1,35.7929,-91.6161,31500,173,610,27100,24400,PrivacySuppressed
107044,109700,1097,72143,0,1,2,3,35.2496,-91.729,36300,168,1248,38600,35500,PrivacySuppressed
10704401,109702,1097,381175499,0,0,2,0,NULL,NULL,36300,168,1248,38600,35500,PrivacySuppressed
107071,109800,1098,71999-0001,0,1,1,3,34.1278,-93.0603,32500,127,1039,34100,32300,0.071428571
107080,109900,1099,72032-3080,0,1,1,3,35.0997,-92.442,34300,27,273,39300,36100,PrivacySuppressed
107099,3007100,30071,71901,0,1,1,1,34.4963,-93.0384,PrivacySuppressed,22,55,13200,9600,NULL
107123,2330800,23308,71603,1,1,1,1,34.1878,-92.018,PrivacySuppressed,4,46,PrivacySuppressed,PrivacySuppressed,0
107141,110000,1100,72761,0,1,1,3,36.1911,-94.5591,48600,77,644,49600,43100,PrivacySuppressed
107211,2525800,25258,72114-3800,0,1,1,1,34.782,-92.2967,PrivacySuppressed,16,31,PrivacySuppressed,PrivacySuppressed,0
107220,2341700,23417,72764-7128,0,1,4,1,36.1676,-94.1318,PrivacySuppressed,23,53,19300,17000,PrivacySuppressed
10722001,2341702,23417,727614217,0,0,4,0,NULL,NULL,PrivacySuppressed,23,53,19300,17000,PrivacySuppressed
10722002,2341701,23417,727562102,0,0,4,0,NULL,NULL,PrivacySuppressed,23,53,19300,17000,PrivacySuppressed
10722003,2341703,23417,727014217,0,0,4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
107275,2287400,22874,72653-3164,0,1,1,1,36.3447,-92.386,PrivacySuppressed,8,21,PrivacySuppressed,PrivacySuppressed,NULL
107293,1074100,10741,72901,0,1,1,1,35.3809,-94.4163,PrivacySuppressed,18,39,PrivacySuppressed,PrivacySuppressed,0
107318,2348200,23482,72301-3829,0,1,1,1,35.1457,-90.2229,23400,105,477,22600,20000,NULL
107327,1286000,12860,72316-1109,0,1,1,1,35.8974,-89.9225,30800,257,971,26300,22700,0
107363,3254300,32543,71655,0,1,1,1,33.6292,-91.7887,PrivacySuppressed,24,51,15700,12100,NULL
107442,2284200,22842,72114-4973,0,1,1,1,34.7591,-92.2541,PrivacySuppressed,32,60,16200,14000,NULL
107460,1226100,12261,72601-5508,0,1,1,1,36.2205,-93.0873,26600,219,886,26300,24000,PrivacySuppressed
107488,2073700,20737,72764,0,1,1,1,36.1786,-94.1164,25200,63,162,26800,24100,NULL
107512,110200,1102,71998-0001,0,1,1,3,34.125,-93.0524,34100,51,396,36100,34600,PrivacySuppressed
107521,997600,9976,72104-0816,0,1,1,1,34.3787,-92.8214,28100,94,360,27300,24700,PrivacySuppressed
107549,2087000,20870,72556-0010,0,1,1,1,36.053,-91.8964,28500,131,445,24400,20400,PrivacySuppressed
107558,109400,1094,72830,0,1,1,3,35.4778,-93.4679,30000,28,212,36000,33300,PrivacySuppressed
107585,524500,5245,72110,0,1,1,2,35.1721,-92.7285,32300,162,802,27100,25000,PrivacySuppressed
107600,110300,1103,72202-3799,0,1,1,3,34.7367,-92.2824,22800,70,306,26000,23400,PrivacySuppressed
107619,110400,1104,72342-0785,0,1,1,2,34.545,-90.6177,23400,202,669,23100,18900,0
107637,570700,5707,71603,0,1,1,1,34.2098,-92.0247,26900,201,786,26200,22400,PrivacySuppressed
107655,2202400,22024,71730-4009,0,1,1,1,33.2151,-92.6631,PrivacySuppressed,20,43,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
107664,2075300,20753,72118-3347,0,1,1,2,34.7824,-92.2997,27900,501,2105,28700,25500,PrivacySuppressed
